"sequence_id","lengths","values"
"ferhcgaq","2759","0"
"she762li","2759","0"
"7e27afzl","2759","0"
"0ejj5mb8","2759","0"
"uuvxr51m","2759","0"
"4av4zq7g","2759","0"
"3w7b9rlz","2759","0"
"2qao3ntk","2761","0"
"3p6qh7to","2759","0"
"uwxeyud5","2759","0"
"7dp9xlwp","2759","0"
"ln60vqru","2760","0"
"ofzrq2h0","7767","0"
"nsv8l5yv","1331","0"
"14w9nxdv","2757","0"
"bmcxegxq","2572","0"
"oowxb5vy","2622","0"
"5921ooeh","2745","0"
"6ji722x0","7492","0"
"jyoesdxb","5109","0"
"t0z08c54","3676","0"
"gphg0sjl","3684","0"
"ua31999a","2588","0"
"h1hayul9","2508","0"
"4pzz9u7n","822","0"
"ufoqbdcr","9570","0"
"ljbnklmv","9570","0"
"bce10aoj","9570","0"
"s3659gg0","9570","0"
"bqrnb2l2","9570","0"
"iagg20ci","9570","0"
"ys05m6k2","9570","0"
"nzby2krk","9570","0"
"l2doxu6o","9570","0"
"5urtx0g6","9570","0"
"fkv5mqwf","9570","0"
"iowg1hek","9570","0"
"ukpjf06n","9596","0"
"q8973s2e","2738","0"
"udme46p0","2589","0"
"00iuvm36","2630","0"
"ze1ea9ui","1342","0"
"mx1cdyru","1388","0"
"pu5e284a","2630","0"
"xq7dxu5c","2660","0"
"szaqnrys","2742","0"
"5olzgibm","2742","0"
"q6akcnqx","2660","0"
"ytoya6pc","1365","0"
"3lj53bb7","6311","0"
"99gblkqp","6312","0"
"ik8ohsga","6311","0"
"gand0zzv","6311","0"
"rsx6qct2","2751","0"
"2i42b0x0","6502","0"
"raa0cf6i","6414","0"
"46nxt23j","6355","0"
"3z8nrjwv","2756","0"
"zghe793u","1398","0"
"y5k34w8v","8897","0"
"ufatgif1","2916","0"
"vy5f2d39","4821","0"
"vgirxbka","4760","0"
"48ud3f1q","8925","0"
"5tbo8zvn","2973","0"
"jks08t1m","4773","0"
"vvkxu3qs","8920","0"
"7z425t7d","2971","0"
"kv18tirr","4775","0"
"bs0ixb7b","8921","0"
"83xgpp0z","2971","0"
"8gbqq7a4","2942","0"
"u5fhf2ub","4787","0"
"4a7qtthi","8920","0"
"w06orevl","8922","0"
"gkwfn11s","4772","0"
"unhg2n25","2957","0"
"oywv37dv","2974","0"
"d5jjtayg","8920","0"
"onfpjfcm","4779","0"
"4lk7v19b","4775","0"
"wgqpmtno","8921","0"
"qqaj5m3w","2971","0"
"p8mmligs","3960","0"
"a8okgb4t","6076","0"
"g0k6jf6g","3981","0"
"frcbxsre","6084","0"
"bfzduo8y","6082","0"
"eszzihyp","3979","0"
"hjhzj6rk","3987","0"
"2p3zjx1e","6078","0"
"6epttdgh","6082","0"
"c00ru119","3985","0"
"94sbddnj","3920","0"
"1x8gp4z9","6027","0"
"8a9jaoiu","2639","0"
"p8hnw405","1342","0"
"k01fwu4f","1106","0"
"z4i4sbp9","2399","0"
"v0bsnglv","7217","0"
"l0jrbzvw","1323","0"
"3haowtr9","2761","0"
"3r79ttve","2525","0"
"d0bp04lm","2560","0"
"eha644gg","4772","0"
"ufo0fxwz","4776","0"
"kaf7gyrd","4771","0"
"lpqr7vzx","2580","0"
"z0e7nse5","2580","0"
"pxypab1g","2582","0"
"yhrph56i","2580","0"
"b615k5u0","2582","0"
"0y23spyw","2580","0"
"cal0gdfz","2580","0"
"8c8m1726","2696","0"
"8jn2o57x","2739","0"
"h300qp1y","2756","0"
"jfkpmafp","2725","0"
"jvtc6uj9","1368","0"
"lb6ml8o0","2747","0"
"eyncnmak","2763","0"
"0wu7acqz","1346","0"
"nfzo1rbi","2756","0"
"5jbuekrx","2745","0"
"vjbup74x","1360","0"
"8wi5nttm","2575","0"
"km99nxxx","2543","0"
"m98pclnl","1348","0"
"o4zml56u","2784","0"
"mhxg7zbj","3762","0"
"rpn2vobz","3747","0"
"0hh0xf2q","2979","0"
"je6lhjpq","2981","0"
"q8wxm4b9","2976","0"
"00rwm1hm","2979","0"
"khcxjy97","2981","0"
"ff7wh68e","2979","0"
"e4zm6kww","2976","0"
"jhw73v4a","2979","0"
"rcr3u6gv","2981","0"
"wdqedwsn","2981","0"
"wly21mu5","2980","0"
"0q1zyt74","2981","0"
"6ck0y11v","2981","0"
"u6gy5nhg","2644","0"
"l1lzwpmt","4152","0"
"t51jp9ll","4152","0"
"ag5915vt","4152","0"
"twh24z5n","4152","0"
"kysh5zbx","4152","0"
"yfjoydvt","4152","0"
"aqqww44o","1350","0"
"so4jrdxc","2609","0"
"59dkt08g","2567","0"
"azds3f6p","2764","0"
"8gvwfotz","2872","0"
"k387jf4v","5811","0"
"9kohx117","1946","0"
"5nveat0u","3643","0"
"h6rd1xk9","9835","0"
"obxeejmc","9835","0"
"8fyyqfev","9835","0"
"tq9hve0c","9839","0"
"58c53v1x","9839","0"
"0qyv0jat","1,1,1,1,1,1,1,3,89,1,1,1,1,1,1,1,1,1,3,9844","18,30,37,42,46,48,50,52,53,52,50,36,23,16,11,7,5,3,1,0"
"hvwcn2gx","9839","0"
"z622ezm5","9839","0"
"xqt52spm","9849","0"
"x6z33coc","9835","0"
"ccgmuyvm","9839","0"
"sfmims65","9844","0"
"sgvlzjhb","2749","0"
"e9xa6vv4","359","0"
"dt8ve7ib","1265","0"
"ryy8awe4","1561","0"
"hmfa34vf","2761","0"
"v2h0pasu","7458","0"
"o5ki47q0","7798","0"
"o4c0mwf4","7796","0"
"xkruyace","7494","0"
"c2f5b72d","7803","0"
"pzh5khd8","7805","0"
"9euhzayo","1344","0"
"w2vn93zo","2740","0"
"zsn27n2a","1514","0"
"78pzgrbu","12020","0"
"2sfzo5is","2861","0"
"r7giel59","2761","0"
"iqhe24c2","2752","0"
"s72sryf8","2773","0"
"ikhss9ts","2606","0"
"48x92emz","3929","0"
"sduh2zxk","1345","0"
"s8lmmdyl","1354","0"
"ba9v5a79","2287","0"
"85xelz5f","4140","0"
"muxdkpuz","2705","0"
"wyfrf4mw","5952","0"
"rlacs86l","1362","0"
"eqpxdcfe","2752","0"
"u7oe9c4j","1367","0"
"9ytx06te","1353","0"
"gullv9ro","13389","0"
"sxjx1jdf","2738","0"
"1uz714ol","2767","0"
"hzgsbqpz","1909","0"
"0wn56je9","1625","0"
"67c3ut13","8271","0"
"2qddmk7o","7914","0"
"zwydxt7d","7913","0"
"wxuxwhvp","8271","0"
"6idyxeb6","2944","0"
"hji9hzwv","3459","0"
"qjnty841","2229","0"
"n9yi7up0","2669","0"
"esm7vtns","2739","0"
"m2hgrd0e","10265","0"
"cv7gcc65","9544","0"
"3h6k82qz","10282","0"
"telnd6mc","10231","0"
"yozifmzy","10266","0"
"c560gd9b","10265","0"
"8yab8rdv","10253","0"
"e6zb585k","10260","0"
"631js8k9","10175","0"
"qo0nxnot","9544","0"
"yquo9nn8","10208","0"
"hf4u0jmd","10265","0"
"n6lh4hmu","10238","0"
"fepk63rh","2752","0"
"774hpuny","1370","0"
"jt8y1wd7","2760","0"
"3ven7jd4","2205","0"
"i9ai82py","3491","0"
"cpb95lgc","2926","0"
"09nuji8r","3523","0"
"krixzh1u","2213","0"
"kwf14v2u","2903","0"
"59mx4k61","3525","0"
"sk6oilki","2211","0"
"zymz84xq","2898","0"
"hveumo7p","6398","0"
"uz8naeaa","6399","0"
"h875gxxa","6399","0"
"utb7czvh","6399","0"
"7873jrdt","6399","0"
"jrgqduqa","6399","0"
"by6d63oo","6399","0"
"16eglu8q","2767","0"
"4dzniszl","2794","0"
"7lufucu8","4086","0"
"9hwc3pfp","4086","0"
"p4q6morg","2742","0"
"cefew8k7","1358","0"
"207ks2s2","2498","0"
"pbfmemtd","2560","0"
"yn9x0yrg","2756","0"
"p8shlzxk","15395","0"
"gie7ojue","2781","0"
"cfl407dq","2612","0"
"klvxgv4w","2609","0"
"dsp9d8o6","2593","0"
"qujjtnm3","2562","0"
"wz304oxp","2597","0"
"1yfcuntj","2808","0"
"18xjopup","9896","0"
"mw32yilr","1367","0"
"3b4ox8fc","7817","0"
"nmtszt6w","5404","0"
"v4t9nq3k","5404","0"
"9gxzv0eb","7829","0"
"88g6l7h7","7661","0"
"bzi2kktt","5404","0"
"2weafeb8","7229","0"
"61c5hxe9","4906","0"
"k3a0rf7d","7653","0"
"g4j95ntt","5403","0"
"5yre7sxe","7420","0"
"d3csgzjm","5381","0"
"02u4ty3m","5403","0"
"ufnv8o75","7808","0"
"uhp8z73x","3586","0"
"30wbwort","5779","0"
"uldpgmjv","1926","0"
"y77yznax","2869","0"
"cj96s7dv","1900","0"
"jrif0fy4","3610","0"
"vh68idci","5778","0"
"fono6ayg","2761","0"
"yulpa1mb","5770","0"
"0humrru1","3612","0"
"8jlh3qga","2826","0"
"j7h1eblh","1950","0"
"er256zsp","2564","0"
"emjominh","2560","0"
"051fvgta","1239","0"
"zsscgqti","2219","0"
"y41iq4iq","3024","0"
"ffdbm59b","3378","0"
"v5xbnqva","1350","0"
"7oqqdaju","2737","0"
"4mvfno1i","1335","0"
"a420k2cz","1371","0"
"dckghbx0","1346","0"
"ld5c7utc","2531","0"
"85h5x6xa","2561","0"
"b43ddb6l","2803","0"
"m5qoms88","2685","0"
"go4cr60x","6792","0"
"hrvm00w7","6791","0"
"48i5dj5v","3855","0"
"k3y5nueo","3371","0"
"ywb8dc57","6995","0"
"gq8u9s2t","2755","0"
"qifjodzk","9475","0"
"oqljnab4","9475","0"
"wvv164l1","3445","0"
"tlda1isw","3441","0"
"f8i164yh","3442","0"
"x6l47fl5","3442","0"
"q7qqgu9k","3450","0"
"dkkdg6eq","3441","0"
"1gyhqbv3","3442","0"
"2b4v8wmz","3441","0"
"g3rzl3wn","3441","0"
"3xfac0hm","3442","0"
"jbsz5y4i","3442","0"
"i8rvq912","3443","0"
"cu83h0aq","3442","0"
"spirbl3c","3441","0"
"oo6e8nky","3442","0"
"13bq0w0e","3442","0"
"ztnbjgmd","3443","0"
"o9jrhiof","3441","0"
"n8fw8qu5","3442","0"
"q87x26cm","3441","0"
"6j3fbuex","2290","0"
"c8f9941y","3519","0"
"e2yiz1s2","2903","0"
"gx5op071","9720","0"
"rkvwkgng","9717","0"
"qqkvs8qr","2775","0"
"8bd0u63a","2762","0"
"n7fkun37","2782","0"
"v8gfe7tm","2781","0"
"ks03fqcu","2773","0"
"f10gp4jy","2763","0"
"6gk4vspz","2734","0"
"n9b8uttk","7512","0"
"4ps0jbyx","3899","0"
"hje5g5ne","7513","0"
"ubcysdhw","3928","0"
"bq49eiyd","7512","0"
"n3nl30t4","3925","0"
"d39k5lp8","3929","0"
"e3mlckhb","7514","0"
"tq4aq6lh","2794","0"
"bz71mqig","6395","0"
"uv12e4pf","6396","0"
"ae5yp7kq","2625","0"
"5irtzm5c","2605","0"
"93mgs986","2777","0"
"nodvpwek","1336","0"
"vi8ls153","2634","0"
"bimo571p","1349","0"
"364hlbhp","2790","0"
"vs6mfp2a","1361","0"
"vwlj81xw","2663","0"
"sh9iplsi","2708","0"
"lujxxg5y","2750","0"
"0yr4uwfx","9284","0"
"udb8v0px","9283","0"
"xbm7jaa6","2768","0"
"edro7686","2750","0"
"0utgmhun","2784","0"
"uqmhrp0x","1356","0"
"lt0gz64d","5979","0"
"eijle9ff","6383","0"
"vzmav202","6860","0"
"o4ysc1x0","10057","0"
"t7thicrw","10057","0"
"wagchhes","8358","0"
"voimcy9x","7420","0"
"p20hs8ax","8224","0"
"2u83j3ub","7563","0"
"8ye5dqvy","7271","0"
"i6xgwyiv","8214","0"
"oespandq","7325","0"
"4udmm239","8209","0"
"3pkjlgdf","8209","0"
"7jjo5z0x","7269","0"
"7mrawq5e","1362","0"
"m4pp6bve","2744","0"
"upjo2s4b","4195","0"
"im1gu043","2739","0"
"923hl6qw","385","0"
"xuz06zvu","360","0"
"m89ljw6o","1370","0"
"ctyvdnxc","9494","0"
"0uzbztxq","9495","0"
"hx19ik28","9495","0"
"btjx4mj1","9495","0"
"zxu5b9a2","1352","0"
"1l27ndvf","1401","0"
"8yp5c0ki","2753","0"
"j6r6nxla","1415","0"
"vm3mlqmr","2617","0"
"n9ri870m","7643","0"
"qoct4yya","7641","0"
"nhr4b9sx","7641","0"
"o602wex8","7647","0"
"6mv07r5v","7654","0"
"6njmpyfg","3061","0"
"ynjhsgve","4786","0"
"6vdai60u","8877","0"
"1jdvzn11","3044","0"
"yxrvxplq","4776","0"
"8cgpkddw","8877","0"
"y105qh5b","8595","0"
"ckdxwkyv","8247","0"
"i3faxwdo","8601","0"
"pa4d3ovj","8244","0"
"1i4p8jno","8242","0"
"54m0cotc","8596","0"
"r87ycras","8610","0"
"znlx06a2","8242","0"
"49s9o5mw","8596","0"
"zda4rm5i","8242","0"
"h32eloi1","6495","0"
"lj511aau","6284","0"
"uo5esbfq","6277","0"
"56w0sek1","6257","0"
"iaxbqcs2","2626","0"
"q6lvljsq","2674","0"
"h6ftahei","2685","0"
"n7fba58v","2650","0"
"v5vsl0cp","2744","0"
"qysnc0di","2742","0"
"jbpp7xz6","2769","0"
"zj7cub69","781","0"
